index,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,median_age,gdp_per_capita,life_expectancy
63,Asia,Israel,2020-10-21,306503.0,2278.0,35411.189,263.184,8655541.0,30.6,33132.32,82.97
64,Asia,Kazakhstan,2020-10-21,145966.0,2184.0,7773.781,116.314,18776707.0,30.6,24055.588,73.6
65,Asia,Palestine,2020-10-21,59595.0,494.0,11682.051000000001,96.836,5101416.0,20.4,4449.898,74.05
66,Asia,Myanmar,2020-10-21,38502.0,945.0,707.63,17.368,54409794.0,29.1,5591.597,67.13
67,Asia,Yemen,2020-10-21,2060.0,599.0,69.067,20.083,29825968.0,20.3,1479.1470000000002,66.12
68,Asia,Vietnam,2020-10-21,1141.0,35.0,11.722000000000001,0.36,97338583.0,32.6,6171.884,75.4
69,Asia,Uzbekistan,2020-10-21,64010.0,534.0,1912.505,15.955,33469199.0,28.2,6253.104,71.72
70,Asia,United Arab Emirates,2020-10-21,117594.0,470.0,11889.711000000001,47.521,9890400.0,34.0,67293.483,77.97
71,Asia,Turkey,2020-10-21,351413.0,9445.0,4166.669,111.988,84339067.0,31.6,25129.341,77.69
72,Asia,Timor,2020-10-21,29.0,,21.996,,1318442.0,18.0,6570.102,69.5
73,Asia,Thailand,2020-10-21,3709.0,59.0,53.138000000000005,0.845,69799978.0,40.1,16277.671,77.15
74,Asia,Tajikistan,2020-10-21,10574.0,80.0,1108.66,8.388,9537642.0,23.3,2896.913,71.1
75,Asia,Taiwan,2020-10-21,543.0,7.0,22.799,0.294,23816775.0,42.2,,80.46
76,Asia,Mongolia,2020-10-21,327.0,,99.74700000000001,,3278292.0,28.6,11840.846000000001,69.87
77,Asia,Syria,2020-10-21,5180.0,254.0,295.98900000000003,14.514000000000001,17500657.0,21.7,,72.7
78,Asia,South Korea,2020-10-21,25424.0,450.0,495.892,8.777000000000001,51269183.0,43.4,35938.373999999996,83.03
79,Asia,Singapore,2020-10-21,57921.0,28.0,9900.445,4.7860000000000005,5850343.0,42.4,85535.383,83.62
80,Asia,Saudi Arabia,2020-10-21,342968.0,5217.0,9851.476999999999,149.85399999999998,34813867.0,31.9,49045.41099999999,75.13
81,Asia,Qatar,2020-10-21,129944.0,224.0,45102.844000000005,77.749,2881060.0,31.9,116935.6,80.23
82,Asia,Philippines,2020-10-21,360775.0,6690.0,3292.3109999999997,61.051,109581085.0,25.2,7599.188,71.23
83,Asia,Iran,2020-10-21,539670.0,31034.0,6425.182,369.483,83992953.0,32.4,19082.62,76.68
84,Asia,Pakistan,2020-10-21,324744.0,6692.0,1470.146,30.295,220892331.0,23.5,5034.708,67.27
85,Asia,Oman,2020-10-21,111033.0,1122.0,21742.945,219.715,5106622.0,30.7,37960.709,77.86
86,Asia,Nepal,2020-10-21,139129.0,765.0,4775.025,26.255,29136808.0,25.0,2442.804,70.78
87,Asia,Sri Lanka,2020-10-21,5811.0,13.0,271.374,0.607,21413250.0,34.1,11669.077,76.98
88,Asia,Indonesia,2020-10-21,368842.0,12734.0,1348.483,46.555,273523621.0,29.3,11188.743999999999,71.72
89,Asia,Afghanistan,2020-10-21,40375.0,1499.0,1037.162,38.507,38928341.0,18.6,1803.987,64.83
90,Asia,Kuwait,2020-10-21,117718.0,714.0,27564.984,167.19099999999997,4270563.0,33.7,65530.537000000004,75.49
91,Asia,India,2020-10-21,7651107.0,115914.0,5544.263000000001,83.995,1380004385.0,28.2,6426.674,69.66
92,Asia,China,2020-10-21,91022.0,4739.0,63.239,3.293,1439323774.0,38.7,15308.712,76.91
